Title,Authors,Genre,Price,Rating,Description,Image
"Vom Glück, kein Kühlschrank zu sein. Life is a Story - story.one",Sarah Kuper,Biography & Autobiography,,,"Erwachsen werden passiert ganz automatisch. Und schnell sehnen wir uns zurück in die Kindheit. Aber was macht das Kindsein so besonders? In zwölf Kurzgeschichten reist Sarah Kuper in ihre Vergangenheit und hält Ausschau nach kindlicher Weisheit, Neugierde, Fantasie, großen und kleinen Streichen, Geborgenheit, Unbefangenheit und purer Freude an den einfachen Dingen des Lebens. Ein Buch zum Zurückdenken und Vorausträumen.",http://books.google.com/books/content?id=d0mFEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Risse in der Erde. Life is a Story - story.one,Maike Hagel,Biography & Autobiography,,,"Risse in der Erde entstehen durch gebrochene Herzen. Was also hat es mit dem Grand Canyon auf sich, und vor allem: Was haben Athis und Lycabas damit zu tun? Zwei Krieger aus vergangener Zeit, zwei Herzen und deren Schicksale. In Dienerschaft beim Herrn Phineus bestreiten die beiden eine Reise, die große Auswirkungen auf die Nachwelt haben wird.",http://books.google.com/books/content?id=0juFEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
A Look at Overseas Aid & Development,"New Zealand Coalition for Trade and Development, Radio New Zealand. Continuing Education Unit","Economic assistance, New Zealand",,,,
A History of Scientific and Technical Periodicals,David A. Kronick,"Journalism, Scientific",,,,
Everything a Working Mother Needs to Know,"Anne C. Weisberg, Carol A. Buckler",,,,"The authors, who are attorneys & mothers, provide solutions to help all the women who have tried to balance a rewarding career with a happy home life. They offer clearheaded, practical advice on negotiating benefits & child care arrangements, as well as early tactics that can prevent a career from being stalled when a woman becomes a mother. They empower women by challenging the fallacies that can often make women feel guilty as mothers & second-rate professionals, & by showing them how to demand change forcefully, pragmatically, & with the best chances of achieving success.",
An Evaluation of a New Ditch Backfill Method for Use when Laying Pipelines in Rocky Terrain,"Tyler A. Ferguson, Robin Stevenson, Society of Automotive Engineers",Steel,,,,
Spontaneous Phenomena,Flemming Topsøe,Mathematics,,,,http://books.google.com/books/content?id=RkEhAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Design of a Multiple Joint Tendon Driven Manipulator with Antagonistic Actuators for Intelligent Control Experiments,Mark A. Shaw,,,,,
President Wilson and Palestine,"Arthur A. Houghton, American University of Beirut. Arab Studies Program",Middle East,,,,
"Real Estate Investment Trust Performance, Efficiency and Internationalization",Joshua A. Harris,,,,"Real Estate Investment Trusts (REITs) are firms that own and manage income producing commercial real estate for the benefit of their shareholders. The three studies in this dissertation explore topics relating to best practices of REIT management and portfolio composition. Managers and investors can use the findings herein to aide in analyzing a REIT's performance and determining optimal investment policies. Utilizing REIT from SNL Real Estate and CRSP, the first two studies examine the role of international diversification upon performance, technical efficiency, and scale efficiency. The third study utilizes REIT data to examine technical and scale efficiency over a 21 year window and investigates characteristics of the REITs that affect the levels of efficiency. CHAPTER 1--PROFITABILITY OF REAL ESTATE INVESTMENT TRUST INTERNATIONALIZATION Real Estate Investment Trusts (REITs) in the United States have grown extremely fast in terms of assets and market capitalization since the early 1990's. As with many industries, U.S. REITs began acquiring foreign properties as their size grew and they needed to seek new investment opportunities. This paper investigates the role of holding foreign assets upon the total return of U.S. based REITs from 1995 through 2010. We find that holding foreign properties in associated with negative relative performance when risk, size, and other common market factors are controlled for. Interestingly, the source of the negative performance is not related to the two largest areas for foreign investment, Europe and Canada. Instead, the negative performance is detected when a REIT begins acquiring properties in other global regions such as Latin America and Asia/Pacific. This paper has broad ramifications for REIT investors and managers alike. CHAPTER 2--EFFECT OF INTERNATIONAL DIVERSIFICATION BY U.S. REAL ESTATE INVESTMENT TRUSTS ON COST EFFICIENCY AND SCALE As U.S. based Real Estate Investment Trusts (REITs) have increased their degree and type of holdings overseas, there has yet to a study that has investigated such activity on the REIT's measures of cost efficiency and scale. Using data from 2010, Data Envelopment Analysis techniques are used to estimate measures of technical and scale efficiency that are then regressed against measures of international diversification and other controls to measure the impact of this global expansion. It is determined that REITs with foreign holdings are significantly larger than domestic REITs and are correspondingly 96% of foreign investing REITs are operating at decreasing returns to scale. Further almost every measure of foreign diversification is negative and significantly impacting scale efficiency. However, simply being a REIT with foreign holdings did positively and significantly associate with higher levels of technical efficiencies. Thus REITs that expand globally may have some advantages in operational efficiency but lose considerably in terms of scale efficiency by increasing their size as they move cross-border. CHAPTER 3--THE EVOLUTION OF TECHNICAL EFFICIENCY AND ECONOMIES OF SCALE OF REAL ESTATE INVESTMENT TRUSTS Data Envelopment Analysis (DEA) is used to measure technical and scale efficiency of 21 years of Real Estate Investment Trust (REIT) data. This is the longest, most complete dataset ever analyzed in the REIT efficiency literature and as such makes a significant contribution as prior efficiency studies' data windows end in the early 2000's at latest. Overall, REITs appear to continue to operate at decreasing returns to scale despite rapid growth in total assets. Further, there is some evidence of improving technical efficiency overtime; however the finding is not strong. In summation, it appears that REITs have not improved on a relative basis despite the rapid growth, a finding that suggests a potential of a high degree of firm competition in the REIT industry. Finally, firm characteristics such as debt utilization, management and advisory structure, and property type specialization are tested for their impact upon technical and scale efficiency.",
Records of the Emirates 1820-1960 12 Volume Hardback Set Including Boxed Genealogical Table and Maps,"P. Tuson, A. Burdett, E. Quick",History,,,"In these 8000 pages Archive Editions presents a key selection of facsimile original British government documents detailing the history and development of the United Arab Emirates from 1820 to modern times. The set includes a map box containing 10 maps dated between 1826 and 1956 and a set of the genealogical tables of the ruling families of the seven Emirates. The collection offers historical evidence for the political, economic and social evolution of the seven Emirates. It includes internal and external frontier negotiations and questions of island sovereignty, constitutional and military developments; the Trucial States Council and the Trucial Oman Levies, municipal development, banking, medicine, air travel. Such records complete the historical background to the extraordinary evolution of the Emirate, from desert subsistence economies to modern city states.",http://books.google.com/books/content?id=IzjEuAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
India,"James A. Hansen, Sanjay Kathuria",Financial institutions,,,,
Hormones and behaviour,Frank A. Beach,,,,,
Mathematics of Data Science,"Daniela Calvetti, Erkki Somersalo",Mathematics,58.12 EUR,,"This textbook provides a solid mathematical basis for understanding popular data science algorithms for clustering and classification and shows that an in-depth understanding of the mathematics powering these algorithms gives insight into the underlying data. It presents a step-by-step derivation of these algorithms, outlining their implementation from scratch in a computationally sound way. Mathematics of Data Science: A Computational Approach to Clustering and Classification proposes different ways of visualizing high-dimensional data to unveil hidden internal structures, and nearly every chapter includes graphical explanations and computed examples using publicly available data sets to highlight similarities and differences among the algorithms. This self-contained book is geared toward advanced undergraduate and beginning graduate students in the mathematical sciences, engineering, and computer science and can be used as the main text in a semester course. Researchers in any application area where data science methods are used will also find the book of interest. No advanced mathematical or statistical background is assumed.",http://books.google.com/books/content?id=RuELEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
T. S. Eliot: A Guide for the Perplexed,Steve Ellis,Literary Criticism,,,"A concise and clear guide to the complexities of T.S.Eliot's poetry, with easy to follow structure and chapters on Eliot's major texts, all in chronological order.",http://books.google.com/books/content?id=AUspodIqJI0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
A Chorus of Cranes,Paul A. Johnsgard,Nature,,,"""Accompanied by the stunning photography of Mangelsen, Johnsgard details the natural history, biology and conservation issues surrounding the abundant sandhill crane and the endangered whooping crane in North America""--",http://books.google.com/books/content?id=-ZbgCwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Problems of the Deaf,Max A. Goldstein,,,,,http://books.google.com/books/content?id=2R-cLgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
LIFPDB,Charles A. Brooks,,,,,
Pets as adjunct therapists in a residence for former psychiatric patients,"Julia A. Nielsen, Lloyd A. Delude",,,,,
Framing an Agricultural Future Informed by History,Oak A. Hawk,Agricultural ecology,,,"The impact on farming from the transformation of the US food system over the last century marks a fundamental disruption in the country’s path of agricultural development. Considering increasing evidence of pernicious environmental and social effects resulting from industrialized practices, substantial strides have been made to develop alternative methods, but structural and cultural obstacles impede their widespread adoption. By placing late 19th and early 20th century agricultural publications within the context of agroecology, it is possible to weave a thread through history that reconnects with the previous path of development. This connection can help build a foundation for sustainable transition of family farms in the Midwest. By distilling the principles and practices common to pre-industrial and sustainable farming into a guidebook, this project makes them highly accessible. Implementing these principles and practices could mitigate negative environmental impacts of agriculture, revitalize rural communities through the development of vibrant agricultural economies, and contribute to the development of a sustainable and resilient agricultural future in the Midwest.",
A Consumer-welfare Approach to the Mandatory Unbundling of Telecommunications Networks,Jerry A. Hausman,Telecommunication systems,,,,
A History of the Army Blood Program,Ronny A. Fryar,,,,,
Extracto from a Report on the Hanmer Plains Sanatorium Wellington 1891,A. Ginders,,,,,
A Proposal Related to Taxonomic Research Material,Robert A. Davidson,,,,,
Readings in the Physical Geography of South Asia,Thomas A. Rumney,Physical geography,,,,
A Time of Legends,"Rick McIntyre, David A Poulsen",Juvenile Nonfiction,,,"For fans of A Wolf Called Wander, a legendary pair and an unexpected rival collide in this action-packed second installment of The Chronicles of the Yellowstone Wolves series. Praise for Book 1 in the series ""An inspiring read for any child who loves the natural world.""--ROSANNE PARRY, NEW YORK TIMES BESTSELLING AUTHOR OF A WOLF CALLED WANDER Raised by his adoptive father, Wolf 21 has become one of Yellowstone's most famous wolves. As leader of the Druid pack, he's known for his bravery, his kindness, and his commitment to his mate--the equally impressive Wolf 42. Together, they are a couple the likes of which the park has never seen. Then there's Wolf 302: a flirt who avoids fights, naps during conflicts, and begs for food instead of hunting. When the trouble-making rebel starts hanging around the Druids, 21 and 42 try to drive him away, but 302 keeps coming back, and, little by little, begins to grow out of his immature ways. But is it enough? Does 302 have what it takes to become an alpha like the greats who came before him? Drawing on Rick McIntyre's work with the wolves of Yellowstone and told in an engaging style that brilliantly captures the real-life drama of the wolves' lives, A Time of Legends is a powerful story of redemption and transformation. Book 2 in The Chronicles of the Yellowstone Wolves series! In The Chronicles of the Yellowstone Wolves series, renowned wolf expert Rick McIntyre and award-winning author David A. Poulsen team up to bring the fascinating stories of the Yellowstone wolves to a new generation of readers. Based on McIntyre's award-winning, bestselling books for adult readers, and containing a wealth of scientifically sound information on wolf behavior, this series is written in an engaging style that brings the drama and intrigue of the wolves' world to life.",http://books.google.com/books/content?id=Bo_J0AEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Geography For Dummies,Charles A. Heatwole,Science,,,"Geography is more than just trivia, it can help you understand why we import or export certain products, predict climate change, and even show you where to place fire and police stations when planning a city. If you’re curious about the world and want to know more about this fascinating place, Geography For Dummies is a great place to start. Whether you’re sixteen or sixty, this fun and easy guide will help you make more sense of the world you live in. Geography For Dummies gives you the tools to interpret the Earth’s grid, read and interpret maps, and to appreciate the importance and implications of geographical features such as volcanoes and fault lines. Plus, you’ll see how erosion and weathering have and will change the earth’s surface and how it impacts people. You’ll get a firm hold of everything from the physical features of the world to political divisions, population, culture, and economics. You’ll also discover: How you can have a rainforest on one side of a mountain range and a desert on the other How ocean currents help to determine the geography of climates How to choose a good location for a shopping mall How you can properly put the plant to good use in everything you do How climate affects humans and how humans have affected the climate How human population has spread and the impact it has had on our world If you’re mixed up by map symbols or mystified by Mercator projections Geography For Dummies can help you find your bearings. Filled with key insights, easy-to-read maps, and cool facts, this book will expand your understanding of geography and today’s world.",http://books.google.com/books/content?id=eBTADmfaoqwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
"Haggett, Peter",Trevor J. Barnes,Economics,,,"Peter Haggett (1933-) is arguably the most well known of the ""quantitative revolutionaries"" within human geography. During the first part of the 1960s, he, along with others, transformed the discipline into a science, spatial science, or as it was also called, the ""new geography."" After his contribution, human geography was utterly different. How it looked on the page, how it was written, what skills were needed, what counted as good geographical work, and who was deemed a capable geographer were all fundamentally altered. Before Haggett, human geography was defined by the descriptive study of unique regions. Under a given geographical typology (e.g., ""relief,"" ""climate,"" ""major cities,"" and ""transportation systems""), the facts of a region were painstakingly gathered, collated, and illustrated with maps and black-and-white photos. ...",
Law and Globalization from Below,"Boaventura de Sousa Santos, César A. Rodríguez-Garavito",Political Science,,,"Written by leading scholars, these case studies represent an unprecedented attempt to analyze the role of the law in the global movement for social justice. They combine empirical research with innovative sociolegal theory to shed new light on a wide array of topics. Among the issues examined are the role of law and politics in the World Social Forum; the struggle on the anti-sweeping movement for the protection of international labor rights; and the challenge to neoliberal globalization and liberal human rights raised by grassroots movements in India and indigenous peoples around the world.",http://books.google.com/books/content?id=4f_jngEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
A Multi-level Security Load Scheduling Algorithm for Linux Virtual Servers,Arthur A. McDonald,Computers,,,,
Assessment of a judgement based method to identify overgrazing in English upland native woodlands,R. THOMPSON,,,,,
Dust,Joseph Anthony Amato,Science,,,"A history of this minute particle spans a thousand years of Western Civilization, from the naturalism of the medieval period though the intensely curious Renaissance, to the modern worlds of nanotechnology and viral research.",http://books.google.com/books/content?id=74i8QgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Whence Came a Prince,Liz Curtis Higgs,Fiction,10.22 EUR,5,"A Prodigal Hero…A Perilous Journey Home The Scottish Lowlands, Summer 1790 Jamie McKie is determined to return to his ancestral home in Glen Trool and claim his inheritance—a harrowing journey that will test the depth of his courage and the strength of his sword. Haunted by a shameful past and wrestling with an uncertain future, Jamie must outwit his devious Uncle Lachlan and confront the two men he most fears: Evan, the brother whose inheritance he stole, and Alec, the father whom he blatantly deceived. Jamie faces a perilous journey of the heart as well: Two sisters each stake a tender claim on his affections. Quiet, gentle Leana is the mother of his firstborn. Her spirited younger sister, Rose, is expecting his second child. Honor and duty prevail but not without heartache, as Jamie prepares to fight for all he holds dear.",http://books.google.com/books/content?id=E6U14SUWf80C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Heat and Mass Transfer Through a Moving Interface,Eric A. Nicholas,Evaporation,,,,
In a Storm of Scandal,Kim Lawrence,Fiction,1.85 EUR,,"Poppy lost her heart—and her reputation—to the dangerously suave Luca Ranieri. Only to be crushed by a whirlwind of scandal when aristocratic Luca chose duty over desire. Now Poppy finds herself stranded in her grandmother's castle by a violent storm—captive with none other than the deliciously disheveled Luca. For three days, the tempest rages, and Poppy loses her heart to Luca all over again. But with reality comes the media frenzy. And this time, the price of scandal means Luca can't just walk away….",http://books.google.com/books/content?id=PXqRbIFmnMgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
A Remarkable Kindness,Diana Bletter,Fiction,18.18 EUR,,"“A story about the bonds of friendship and family. . . . [W]ith lush and insightful prose . . . a foreign landscape and culture becomes warm and familiar.” —Amy Sue Nathan, author of The Good Neighbor and The Glass Wives It’s 2006 in a seaside village in Israel, where a war is brewing. Lauren, Emily, Aviva and Rachel, four memorable women from different backgrounds, are living abroad in the coastal town. Lauren, a maternity nurse, loves her Israeli doctor husband but struggles to make a home for herself in a foreign land miles away from her beloved Boston. Seeking a fresh start after divorce, her vivacious friend Emily follows. Strong, sensuous Aviva, brought to Israel years earlier by intelligence work, has raised a family and now lost a son. And Rachel, a beautiful, idealistic college graduate from Wyoming, arrives with her hopeful dreams. The women forge a friendship that sustains them as they come to terms with love and loss, and the outbreak of war. Their intimate bond is strengthened by their participation in a traditional ritual that closes the circle of life. As their lives are slowly transformed, each finds unexpected strength and resilience. Brimming with wisdom, rich in meaningful insights, A Remarkable Kindness is a moving testament to women’s friendship, illuminating a mostly unknown ritual that underscores what it means to truly be alive.",http://books.google.com/books/content?id=K79vBQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
"Leverage as a State Variable for Employment, Inventory Accumulation, and Fixed Investment","Charles W. Calomiris, Athanasios Orphanides, Steven A. Sharpe",,,,,
Adventure Games,"Aaron A. Reed, John Murray, Anastasia Salter",Games & Activities,,,"The genre of adventure games is frequently overlooked. Lacking the constantly-evolving graphics and graphic violence of their counterparts in first-person and third-person shooters or role-playing games, they are often marketed to and beloved by players outside of mainstream game communities. While often forgotten by both the industry and academia, adventure games have had (and continue to have) a surprisingly wide influence on contemporary games, in categories including walking simulators, hidden object games, visual novels, and bestselling titles from companies like Telltale and Campo Santo. In this examination of heirs to the genre's legacy, the authors examine the genre from multiple perspectives, connecting technical analysis with critical commentary and social context. This will be the first book to consider this important genre from a comprehensive and transdisciplinary perspective. Drawing upon methods from platform studies, software studies, media studies, and literary studies, they reveal the genre's ludic and narrative origins and patterns, where character (and the player's embodiment of a character) is essential to the experience of play and the choices within a game. A deep structural analysis of adventure games also uncovers an unsteady balance between sometimes contradictory elements of story, exploration, and puzzles: with different games and creators employing a multitude of different solutions to resolving this tension.",http://books.google.com/books/content?id=NrzPDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Evaluation of a New Method of Improving Medication Compliance of Outpatients with Chronic Diseases,William A. Cornelis,,,,,
With a Little Help from My Friends,"Judith A. Myers-Walls, Betty Youngman, Karen R. Hinkley, Kristelle Miller, University of Arkansas (System). Cooperative Extension Service",Friendship,,,,
Report of the Commission for the Study of a Twelve Months' Use of Public School Buildings and Facilities for Public School Purposes,North Carolina. Commission for the Study of a Twelve Months' Use of Public School Buildings and Facilities for Public School Purposes,School buildings,,,,
Introduction to Social Psychology,Gary S. Nickell,,,,,
Annual Report of the University of Mysore,University of Mysore,Universities and colleges,,,,http://books.google.com/books/content?id=T_s73hfdXQkC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Journal of the National Institute of Social Sciences,National Institute of Social Sciences,Social sciences,,,"List of members in v. 2-4, 6-7, 9.",http://books.google.com/books/content?id=RBzIAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Annals of the New York Academy of Sciences,New York Academy of Sciences,Science,,,Records of meetings 1808-1916 in v. 11-27.,http://books.google.com/books/content?id=ZG4bAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Monographic Series,Library of Congress,Monographic series,,,,http://books.google.com/books/content?id=fBiLbJ2DQdwC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Catalogue of Economic and Social Projects of the United Nations and the Specialized Agencies,United Nations,Economics,,,,http://books.google.com/books/content?id=-lgFxRa8kewC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Manuscrito,,Philosophy,,,,http://books.google.com/books/content?id=3uJCDenPfPkC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Machinery Market,,Machine-tools,,,,http://books.google.com/books/content?id=Z0M0JbUDDiQC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Transactions and Proceedings,National Association of State Universities,Universities and colleges,,,No. 1 includes proceedings of the 6th-7th meetings held 1901 and 1903; no. 2- contains proceedings of the 8th- meetings held 1904-,http://books.google.com/books/content?id=TNaNDtP5EgMC&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Annual Report of the California State Department of Education,California. State Department of Education,Education,,,,http://books.google.com/books/content?id=2P7i49O1Gl8C&printsec=frontcover&img=1&zoom=1&source=gbs_api
"Annual Report of the Faculty of Engineering, Kyushu University",Kyūshū Daigaku. Kōgaku Kenkyūin,Engineering,,,,http://books.google.com/books/content?id=lOEXfgMcfuMC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Marketing Wyoming Cattle,"Andrew Vanvig, Willis Gordon Kearl, Alan Collins",Agricultural credit,,,,http://books.google.com/books/content?id=1Zzd7Rz3x5wC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Ohio State University Bulletin,,,,,,http://books.google.com/books/content?id=m6nOAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The University correspondent and University correspondence college magazine (and The Educational review).,,,,,,http://books.google.com/books/content?id=mIhV1K135WAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Keystone,,,,,,http://books.google.com/books/content?id=VD-VRsrEjKgC&printsec=frontcover&img=1&zoom=1&source=gbs_api
China Yearbook,,China,,,,http://books.google.com/books/content?id=6UFXCmR0rHcC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Special Circular,,Agriculture,,,,http://books.google.com/books/content?id=O6-sqAStO08C&printsec=frontcover&img=1&zoom=1&source=gbs_api
Cornell University Announcements,Cornell University,,,,,http://books.google.com/books/content?id=kEbv6u9XAaUC&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Search for Solutions Teaching Guide (abridged),Illinois State Board of Education (1973- ),Science,,,,http://books.google.com/books/content?id=3X_VCiZpv3IC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Dionysius,,Classical antiquities,,,,http://books.google.com/books/content?id=ANfue2LEP7gC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Films and Other Materials for Projection,Library of Congress,Filmstrips,,,,http://books.google.com/books/content?id=sr2R3m7jYLwC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Classified Catalogue,Carnegie Library of Pittsburgh,,,,,http://books.google.com/books/content?id=6xflwS78gQAC&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Inlander,,,,,,http://books.google.com/books/content?id=-zd3Ycc2llQC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Report of Proceedings of the ... Conference,Association of Special Libraries and Information Bureaux (Great Britain). Conference,,,,,http://books.google.com/books/content?id=QFVfxvHr8uQC&printsec=frontcover&img=1&zoom=1&source=gbs_api
The American Educator Encyclopedia,Everett Edgar Sentman,Encyclopedias and dictionaries,,,,http://books.google.com/books/content?id=qgLccEIGqO4C&printsec=frontcover&img=1&zoom=1&source=gbs_api
Know Your Friends and Foes,University of South Carolina. Extension Division,History,,,,http://books.google.com/books/content?id=vVKBxf51CgoC&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Stationery Office Annual Catalogue,Great Britain. Her Majesty's Stationery Office,Government publications,,,,http://books.google.com/books/content?id=MuqkluVi7PMC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Organon,,Engineering,,,,http://books.google.com/books/content?id=gt3LIgQQtjcC&printsec=frontcover&img=1&zoom=1&source=gbs_api
"From the Center, and Margins",,Women,,,,http://books.google.com/books/content?id=2wZ7xh-BJ6sC&printsec=frontcover&img=1&zoom=1&source=gbs_api
"A Catalog of Books Represented by Library of Congress Printed Cards Issued to July 31, 1942",,American literature,,,,http://books.google.com/books/content?id=DBDcJMNFDo8C&printsec=frontcover&img=1&zoom=1&source=gbs_api
Graduate Bulletin,University of Georgia. Graduate School,,,,"The Graduate School ... offers over 240 graduate degrees including the Master of Arts, Master of Sciences, and Doctor of Philosophy.",http://books.google.com/books/content?id=6TsX6LajNdgC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Energy and Technology Review,,Military research,,,,http://books.google.com/books/content?id=Bt-w9tV8FjkC&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Booklist,,Books,,,,http://books.google.com/books/content?id=Sj8bAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Sessional Papers,Canada. Parliament,Canada,,,"""Report of the Dominion fishery commission on the fisheries of the province of Ontario, 1893"", issued as vol. 26, no. 7, supplement.",http://books.google.com/books/content?id=yL5JTx-fxMkC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Directory of Delaware Schools,,Education,,,,http://books.google.com/books/content?id=ZVxQdWoHz8IC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Proceedings,Chicago (Ill.). Board of Education,,,,,http://books.google.com/books/content?id=O_4v4a58EPAC&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Public Schools Year Book,,Education,,,,http://books.google.com/books/content?id=K3dEb8Lwe3oC&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Melbourne University Calendar,University of Melbourne,,,,,http://books.google.com/books/content?id=aFg4AAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
New York State Contract Reporter,,Letting of contracts,,,,http://books.google.com/books/content?id=dnXjvSjoAwsC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Announcements and General Information,Virginia Junior College,,,,,http://books.google.com/books/content?id=fu_LCY79dQIC&printsec=frontcover&img=1&zoom=1&source=gbs_api
A Layman's Confession of Faith,Philip Whitwell Wilson,Literary Collections,,,,http://books.google.com/books/content?id=SSTLZJEc5ZQC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Im Duett - eine Frage des Herzens. Life is a Story - story.one,Junis_Storyikarus,Fiction,,,"""Was es ist"" - Das mitunter schönste und mystischste Gedicht von Erich Fried sagt es aus. Auch mich bewegte dieses Gedicht stets im Herzen und es wirft so manche Frage auf. So versuche ich, anstelle des lyrischen Weges, mich über die Prosa diesem Mysterium zu nähern: Was macht sie aus? Kann sie erreicht werden? Lohnt sie sich? Sollten sich alle Geschlechter nach ihr verzehren? Oder ist sie so viel mehr? Möge jede/r die Antwort für sich selber finden und dieses Büchlein möchte eine kleine Stütze auf dem Weg dorthin sein. Darum stimme ich Erich Fried zu: ""Es ist was es ist, sagt die Liebe"".",http://books.google.com/books/content?id=6Yr0EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Das Leben schreibt die schönsten Gedichte. Life is a Story - story.one,Corinna Paone,Fiction,,,"Kann ein Mensch, der etwas völlig Neues schafft, Kunst, Kultur oder Musik hervorbringt, genauso vergänglich sein, wie alle anderen Lebewesen auf dieser Erde? Ich denke, der Mensch lebt fort in seinen Nachfahren und in seinen Werken, die für andere bedeutsam sind. Dieses Buch ist eine Sammlung von Gedichten, die ich, Corinna Paone, in Andenken an meine Oma Lore, die vor 10 Jahren verstarb, der Welt nicht vorenthalten möchte. Mit diesen Gedichten konnte sie Vieles verarbeiten, in andere Welten entfliehen und ihren Gedanken freien Lauf lassen, was in der Realität für sie oft nicht möglich war. So handeln die Gedichte von gewöhnlichen und außergewöhnlichen Dingen, regen die LeserInnen zum Nachdenken an, lassen diese aber auch hin und wieder mal schmunzeln. Und wer denkt, Gedichte seien altmodisch und fad, wird hier eines besserem belehrt.",http://books.google.com/books/content?id=cBMZEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Fünf Wochen Zucchini oder Abenteuer unter Palmen. Life is a Story - story.one,Nina Kather,Comics & Graphic Novels,,,"Brauchen Sie Luftveränderung? Die Autorin möchte Ihnen ein unschlagbares Angebot unterbreiten: Der Aufenthalt in einem schönen Kurbad unter Palmen! Hier wird von sportlichen Aktivitäten über meditative Auszeiten, Spielenachmittagen und Vorträgen bis hin zum ganz großen Theater alles geboten. Nina Kather lädt Sie zu einem Besuch während ihrer Reha ein. Bei sommerlichen Temperaturen nehmen sie als Begleitung der Autorin an vielfältigen Aktionen teil. Freuen Sie sich auf ein paar herrliche Stunden mit reichlich Abwechslung. Witziges trifft dabei auf Skurriles, Augenzwinkern wechselt sich mit Kopfschütteln ab und manche Situationskomik reizt Ihre Lachmuskeln. Viel Spaß bei einer heiteren `Auszeit ́ wünscht Nina Kather.",http://books.google.com/books/content?id=iF72EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
